classification_notes,classification_viewOfferedOnMarriedWomensWork,classification_wasTheMarriedWomensWorkDiscussedIncontextOfMotherhood,classification_occupation,classification_skilled_unskilled,contextText,location_fromMOH,location_current,location_latitude,location_longitude,source_bNumber,source_fileName,source_url,searchCriteria_type,searchCriteria_bigram,searchCriteria_list1,searchCriteria_list2,time_year,xxx_notes,latitude,longitude
0,Not applicable/no view,No,Other,Unskilled,"cases of verminous casuals are received on any day of the week and attended to. a man and his wife are engaged for the bath rooms, the woman attending to the bathing and cleansing of the children and women, and the man to big boys and adult males. 66 flannel gowns are provided for use whilst the verminous clothing is being disinfected. in order to ensure the smooth working of matters an officer visits early in the morning the cases of school children to be bathed during the day, so that the parents may be informed of our mode of procedure.",Southwark,Southwark,0,0,b20056898,Southwark.1907.b20056898.txt,https://dlcs.io/pdf/wellcome/pdf-item/b20056898/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1907,0,51.474239,-0.074055
0,Not applicable/no view,No,"Laundry, Other",Unskilled,"the medical and nursing staff consist of medical superintendent (non-resident), matron (nursing), two staff nurses, and one probationer nurse; and the domestic staff of cook, wardmaid, laundrymaid, housemaid, and entrance lodge porter and his wife. the medical superintendent's residence is connected with the hospital by telephone. the porter's duties consist of looking after the entrance lodge, checking all entries and exits, and working the steam disinfector, etc. his spare time is spent in the gardens. the porter's wife assists, when required, in the laundry etc. visitors are allowed to visit patients on sundays from two to four o'clock, but are only allowed to communicate with the patients through the windows.",Southgate,Enfield,0,0,b19794794,Southgate.1908.b19794794.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19794794/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1908,0,51.650995,-0.087272
0,Not applicable/no view,No,"Laundry, Other",Unskilled,"the medical and nursing staff consist of medical superin tendent (non.resident), matron (nursing), two staff nurses, and one probationer nurse ; and the domestic staff of cook. ward. maid, laundrymaid, housemaid, and entrance lodge porter and his wife the medical superintendent's residence is connected with the hospital by telephone. the porter's duties consist of looking after the entrance lodge, checking all entries and exits, and working the steam disinfector, etc. his spare time is spent in the gardens. the porter's wife assists, when required, in the laundry, etc. visitors are allowed to visit patients on sundays from two to four o'clock, but are only allowed to communicate with the patients through the windows.",Southgate,Enfield,0,0,b19794800,Southgate.1909.b19794800.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19794800/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1909,0,51.650995,-0.087272
0,Not applicable/no view,No,"Laundry, Other",Unskilled,"the medical and nursing staff consist, at present, of medical superintendent (non-resident), matron (nursing), three staff nurses, and two probationers ; and the domestic staff of cook, wardmaid, laundrymaid, housemaid, general, and entrance lodge porter and his wife. when all the wards are fully occupied a larger staff of nurses are required. the medical superintendent's residence is connected with the hospital by telephone. the porter's duties consist of looking after the entrance lodge, checking all entries and exits, and working the steam disinfector, etc. his spare time is spent in the gardens. the porter's wife assists, when required, in the laundry, etc. relatives and friends are allowed to visit patients on sunday afternoons from two to four o'clock, but are only allowed to communicate with the patients through the windows. ",Southgate,Enfield,0,0,b19794812,Southgate.1913.b19794812.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19794812/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1913,0,51.650995,-0.087272
0,Not applicable/no view,No,"Laundry, Other",Unskilled,"the medical and nursing staff consist, at present, of medical superintendent (non-resident), matron (nursing), three staff nurses, and two probationers; and the domestic staff of cook, wardmaid, laundrymaid, housemaid, general, and entrance lodge porter and his wife. when all the wards are fully occupied a larger staff of nurses is required. the medical superintendent's residence is connected with the hospital by telephone. the porter's duties consist of looking after the entrance lodge, checking all entries and exits, and working the steam disinfector, etc. his spare time is spent in the gardens, the porter's wife assists, when required, in the laundry, etc. relatives and friends are allowed to visit patients on sunday afternoons between two and four o'clock, but are only allowed to communicate with the patients through the windows.",Southgate,Enfield,0,0,b19794873,Southgate.1920.b19794873.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19794873/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1920,0,51.650995,-0.087272
,Not applicable/no view,No,Unspecified,Unspecified," the following table gives the population in holborn over 12 years of age in relation to marriage and occupation:— males. females. single. married. widowed or divorced. single. married. widowed or divorced. total 8 708 8,297 947 9,415 7,741 2,496 number occupied 6,643 7,296 689 7,149 1,830 1,354 number not occupied 2,065 901 159 2,266 3,911 1,142 the number of married women occupied away from their homes is equal to 23.7 per cent. of the total number of married women in the borough. this high percentage of wives following an occupation is exceeded in london only in the city of london, where the proportion is 30.6 per cent., and in the borough of shoreditch, 24.1 per cent.; holborn is closely followed by finsbury with 23.1 per cent.; at the other end of the scale we have woolwich with 5.3 per cent., lewisham 6.1 per cent., wandsworth 7.8 per cent., and stoke newington 10.2 per cent. ",Holborn,Camden,0,0,b18116565,Holborn.1923.b18116565.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18116565/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1923,0,51.546394,-0.157424
0,Not applicable/no view,Yes,Unspecified,Unspecified,"b.—had broken down in health when first we heard of him. he was under the middlesex hospital, but his wife and children were persuaded by the dispensary nurse to be examined as contacts, and as the two children were found to be very debilitated after pneumonia, they were referred to the invalid children's aid association for convalescence and were sent to worthing. the mother, relieved temporarily of their care, was able to make arrangements for the future, which necessitated her becoming the breadwinner of the family, as b. died while away in sanatorium. ",Fulham,Hammersmith and Fulham,0,0,b18220320,Fulham.1926.b18220320.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18220320/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1926,Also need to check manually - may be more in this entry,51.49501,-0.220789
,Not applicable/no view,Yes,Unspecified,Unspecified,"how wide the scope of this side of the work is will be realised if we consider what happens when a member of a family is found to have tuberculosis and has been recommended for institutional treatment, and ask ourselves:— (1) how are the family to carry on during the absence of the patient, especially if he be the breadwinner? this question alone frequently presents enormous difficulties. what is his national health insurance benefit if any? can the wife go out to work if a job can be found? can the children be cared for or boarded out if the wife works? is the patient an ex-service man or the dependent of an ex-service man? (2) has the patient sufficient suitable clothing for institutional treatment? (3) can his wife afford fares to visit him whilst he is undergoing treatment? (4) on his return can he have a separate bed or bedroom? is he fit to return to his former work?",Woolwich,Greenwich,0,0,b19823526,Woolwich.1930.b19823526.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19823526/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1930,0,51.474432,0.055547
0,Neutral,Yes,Unspecified,Unspecified,"the prevention of infection should be the guiding principle in the scheme and not the future fitness of the sufferer for employment. if not widened to include all cases of pulmonary tuberculosis the scheme might still be amplified to fill gaps such as the married woman who is advised to give up a gainful occupation but is ineligible to participate in the scheme because she is regarded as the dependent of her husband, or the pregnant wife who must wait for her child to be born before becoming eligible for any extra financial help from any source, unlike the wives of service men who get an ante-natal grant. cases occur where the pregnant woman works right up to the last in order to provide for the baby because there is no provision for assistance under the scheme.",LambethMetropolitanBorough,Lambeth,0,0,b18239705,LambethMetropolitanBorough.1944.b18239705.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18239705/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1944,Check manually for context,51.453839,-0.118309
0,Positive,Yes,"Nursing, Teaching, Factory","Unskilled, Skilled","women being admitted for confinement during 1947. close liaison has been maintained between the borough ante-natal clinics and the maternity department of the hospital. attendances at infant welfare centres totalled 24,434, an increase of 7,400 over the previous year. during the year, work was commenced on the construction of the day nursery in spratt hall road, wanstead. the need for day nursery facilities has been continually evident not only for those mothers desirous of entering industry, but also for those wishing to obtain employment as nurses or teachers. many applications have also been received from war widows, unmarried mothers and wives separated from their husbands for whom work is essential on economic grounds and who, in the absence of nursery facilities would be compelled to separate from their children. further, there is need for nursery accommodation of a temporary nature when sudden illness occurs in a home, or where a mother is being confined. ",WansteadandWoodford,Redbridge,0,0,b19878606,WansteadandWoodford.1947.b19878606.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19878606/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1947,0,51.585658,0.075864
0,Positive,Yes,Unspecified,Unspecified,"during the current year it has become necessary to reduce the number of names on the register at each nursery from 60 to 55 so as not to exceed the capacity of the nursery (i.e., 50 places). pressure on the day nurseries remains high even in the priority classes, i.e., the children of unmarried mothers, of widows, or of wives separated from their husbands; the children of mothers whose husbands are frequently ill and cannot work full-time or are unemployed, or who are themselves ill; the children of mothers whose husbands are in the forces; and of mothers who are working full-time on essential work. 70 training.—seven probationers obtained the nursery nurses certificate during the year. the council agreed to pay the examination fees of probationers. hours of opening.—the nurseries were open monday to friday from 8 a.m. to 5.30 p.m. throughout the year. control of the day nursery service passed to the county council on july 5th.",Walthamstow,Waltham Forest,0,0,b19876695,Walthamstow.1948.b19876695.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19876695/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1948,0,51.594033,-0.01264
0,Not applicable/no view,No,Nursing,Skilled,"there were two adults—one female who worked at a hospital suffered a mild attack and the remaining case is interesting, being an adult male whose wife was working in the ""polio"" ward of a large fever hospital. another interesting case is that of a child who was taken ill at a holiday camp, saw the camp doctor who prescribed a tonic, and a few days after arriving home became weak in her limbs.",Acton,Ealing,0,0,b19783796,Acton.1949.b19783796.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19783796/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1949,0,51.522475,-0.331026
0,Not applicable/No view,No,Unspecified,Unspecified,"in the last annual report the medical officer stressed that the greatest danger as far as milk is concerned is after the retailer has delivered the milk to the consumer, who frequently leaves the full bottles in direct rays of the sun for long periods. it has been noticed that this practice is still very common and is undoubtedly the cause of complaints of souring. probably the entire blame cannot be laid against the housewife who, in these days when a large percentage of wives are working away from home, the milk is delivered at the front door by the roundsman and left by him in an exposed position. ",EastBarnet,Barnet,0,0,b19788460,EastBarnet.1953.b19788460.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19788460/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1953,0,51.616027,-0.210017
0,Not applicable/No view,No,Unspecified,Unskilled,"FEMALES. The rate of mortality of females following industrial occupations cannot be estimated, nor yet, fairly, the average age at death, in consequence of the imperfection of the mortuary returns, which in the instance of married women do not in all cases specify the occupation followed. The particulars as to the cause of death, as given in Table XIV., are open to fewer objections on this score. Dressmakers and Milliners appear to die to a large extent from consumption, 42 per cent, of the deaths being attributable to this cause. There is no difficulty in associating this with the damage inflicted upon the health from excessive and late hours of work in close, crowded, and confined rooms, together with deficient bodily exercise. ",IslingtonMetropolitanBorough,Islington,0,0,b18248640,IslingtonMetropolitanBorough.1864.b18248640.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18248640/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1864,0,51.548487,-0.110251
0,Negative,No,"Retail, Factory, Unspecified","Unskilled, Skilled","Female labour is on a very unsatisfactory footing— young women living at home with their parents, certainly earn wages which contribute partly to their maintenance ; some married women work far below the fair value of labour to supplement the wages of a husband whose work is casual and uncertain, often from drunkenness ; female labour even attempts to compete with manufacturing establishments ; some married women again, who erroneously desire to utilize their spare time in working for shops, neglect domestic duties, and thus lower the price of female labour of single women. ",Paddington,City of Westminster,0,0,b19955212,Paddington.1870.b19955212.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19955212/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1870,0,51.513444,-0.160467
0,Neutral,Yes,"Laundry, Domestic Service, Outwork, Factory",Unskilled,"known as the Domestic Workshop, and the establishment of Cretches would provide for the occasional absence of the mother, should she get a day's washing or charing. Moreover, it would not be impossible to utilize these establishments for educational purposes, and some plain and simple instructions in the feeding of infants might be given to the mothers who bring children to be taken care of. I have made some enquiries amongst the manufacturers in my district and also amongst the women themselves. I find that the employment of child-bearing women is not very prevalent in large Factories and Workshops. The married women mostly work at home at Boxmaking, Tailoring, or Bootwork. Factory Owners tell me that the proportion of married women among their female hands does not exceed five per cent., and some of these are widows. Occasionally their female hands continue their occupation for a time after marriage, but if they become pregnant they leave the Factory six or eight weeks before the expected confinement. Some employers say they will not be bothered with women who have children and decline to allow them to return, as they are apt to be irregular in attendance, and frequently kept at home on account of illness in their families.",BethnalGreen,Tower Hamlets,0,0,b17997598,BethnalGreen.1893.b17997598.txt,https://dlcs.io/pdf/wellcome/pdf-item/b17997598/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1893,check later text,51.515741,-0.034662
0,Positive,No,Outwork,Unskilled,"Factory and Workshop Act.—The number of premises registered under the Factory and Workshop Act has increased from 216 to 501, in consequence of the obligation cast upon authorities to communicate to each other semi-annually the names and addresses of any ""Outworkers"" residing in their respective districts. The work of inspection of these premises is most complicated by the constant changes in the lists, half of each succeeding list consisting of new names in place of the old ones who have ceased to be employed. Many of the outworkers being married women working at home, anxious to add to the family income, work under fair sanitary conditions, and it is rare to find any cause for complaint. The various matters dealt with have been supplied to, and are dealt with in the report of, the Medical Officer of Health.",Walthamstow,Waltham Forest,0,0,b19971011,Walthamstow.1902.b19971011.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19971011/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1902,0,51.594033,-0.01264
0,Not applicable/no view,No,Unspecified,Unspecified,"TABLE 5. (Census, 1901.) Of 1,000 Females aged 15-45 Proportion occupied per 1,000. Unmarried. Married. Females 15-45. Married and Widowed, 15 years and upwards. Borough 621 354 534 165 London 524 448 466 172 Kensington 688 284 602 234 Westminster 648 320 629 267 Marylebone 634 334 601 250 Hampstead 708 561 128 Willesden 465 513 377 115 Note.—The Condensed Tables of Occupations do not distinguish the ages of ""married and widowed"" engaged in occupations. No female under 15 years of age was returned as married at the last Census. The birth-rate ought to be calculated on the married women of child-bearing ages, due correction being made for the births of illegitimate children. Unfortunatelv the whole of the data necessary for such correction are not available. In Table 6 rates are given based on all births, and also on legitimate and illegitimate, as far as can be done. The table at present gives but little information ; but continued for a series of years, will afford a clear indication of the changes in the fruitfulness of marriage and the improvement (or deterioration) in the morality of the various districts.",PaddingtonMetropolitanBorough,City of Westminster,0,0,b18245195,PaddingtonMetropolitanBorough.1904.b18245195.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18245195/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1904,This is a table - would need to extract the whole thing for it to be useful and the text above it,51.513444,-0.160467
0,Not applicable/no view,No,Unspecified,Unspecified,"Thus we see that the question of the prevention of tuberculosis is of the very utmost importance to Friendly Societies, and to Sick Benefit Societies generally, and, therefore, to working men. A POOR LAW QUESTION. But outside of these Societies there is a huge mass of humanity who have no Society to look to, labourers, persons in casual employment, widows, orphans, and especially single women, or married women deserted by their husbands, who earn a precarious livelihood, and whose ultimate fate is to flee to the workhouses and their infirmaries when disease overtakes them. The prevention of phthisis is, therefore, a great question for those engaged in Poor Law Administration, as well as for Sanitary Authorities. And here let me state that something of this has dawned on the Islington Guardians, for they are now through their Relieving Officers notifying cases of the disease which come under their notice. All of them had, however, previously been removed to hospital or had died.",Islington,Islington,0,0,b18047257,Islington.1904.b18047257.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18047257/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1904,0,51.548487,-0.110251
0,Negative,Yes,Unspecified,Unspecified,"""The married women also have to work, and infants are artificially fed; a want of cheap milk supply leading to the use of tinned milks deficient in fat, and also of preparations of various foods. 'The children are frequently fed on foods which are savoury from containing stimulating extractive matters their debilitated condition leading to their passing over wholesome food which is not tasty.",LondonCountyCouncil,London County Council,0,0,b18252539,LondonCountyCouncil.1904.b18252539.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18252539/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1904,0,0,0
0,Negative,No,Outwork,Unskilled,"The system of giving out work to be done by home-workers does not appear to be a desirable one, and is to a great extent responsible for certain evils in the industrial world. Homework is done mostly by women who are unskilled and unorganised, and thus without the means of insisting upon a proper wage. When the work is sublet several times, as frequently happens, the wages paid to the final Outworker must necessarily be low, even if a fair wage be paid in the first instance. The work is also frequently done by married women who do not absolutely require to work, and so work for a small wage, in this way bringing down the earnings of all. There seems to be an increasing tendency amongst employers to employ Outworkers rather than indoor hands, possibly due to the fact that in the case of workshops the employer is responsible for the conditions under which his work is done.",Islington,Islington,0,0,b18106614,Islington.1905.b18106614.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18106614/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1905,0,51.548487,-0.110251
0,Negative,Yes,"Domestic Service, Factory, Laundry",Unskilled,"The majority of the infants are breast fed, at all events for the first few weeks. Only a comparatively small number of mothers in this district go to work regularly and leave their children in charge of others. As there are few factories and laundries in the neighbourhood as compared with other districts further west, married women have limited opportunity of getting work other than as domestic servants or charwomen, so there would appear to be little inducement for them to do so. In some cases, however, mothers, who would otherwise have been able to nurse their infants, were obliged to partially wean them in order to go to work. The percentage of those who did so was increased during the winter quarter, the period which corresponded to the time when the greatest number of men were out of employment. ",Chelsea,Kensington and Chelsea,0,0,b18044578,Chelsea.1905.b18044578.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18044578/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1905,0,51.501207,-0.192219
0,Negative,Yes,Factory,Unskilled,"Owing to the existence of large factories employing female labour in the Borough, and in the adjoining part of West Ham, it is probable that the number of married women employed away from home exceeds that in the whole Borough. This would mean more hand-fed children and more Diarrhoea. The Lady Inspector is giving special attention to this district, and an improvement is to be anticipated before long. ",Woolwich,Greenwich,0,0,b19823307,Woolwich.1905.b19823307.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19823307/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1905,0,51.474432,0.055547
0,Not applicable/no view,Yes,"Factory, Unspecified","Unskilled, Skilled","With regard to public nurseries, the recommendation needs to be considered in connection with recommendation (44), which is as follows— (44) Creches. ""Wherever it was thought desirable, owing to the employment of married women in factories or for other reasons, to establish municipal creches, girls over 14 might be made to attend occasionally and the teaching of infant management to such girls should be eligible for aid from the grant for public education."" A report on creches prepared by the chief officer of the Public Control department was printed by order of the Public Control Committee on 8th July, 1904.",LondonCountyCouncil,London County Council,0,0,b18252540,LondonCountyCouncil.1905.b18252540.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18252540/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1905,0,0,0
0,Not applicable/no view,Yes,"Factory, Unspecified","Unskilled, Skilled","The Committee call attention to the fact that the Inter-Departmental Committee on Physical Deterioration, in their report, made a recommendation to the effect that, whenever it was thought desirable, owing to the employment of married women in factories, or for other reasons, to establish municipal creches, girls over 14 might be made to attend occasionally, and that the teaching of infant management to such girls should be eligible for aid from the grant for public education.",Kensington,Kensington and Chelsea,0,0,b18111427,Kensington.1905.b18111427.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18111427/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1905,0,51.501207,-0.192219
0,Neutral,No,Outwork,Unskilled,"premises have been visited, and that 55 men and 351 women were found to be engaged in home work. Seventeen of these premises were reported to the Home Office as ""Domestic Workshops,"" (i.e. a 164 workshop where only resident members of the same family are employed). Of the 55 men, 33 were tailors, and 22 were shoemakers, umbrella makers, &c. Of the 351 women, 120 were widows or single women ; these latter workers, generally speaking, work at greater-pressure owing to the fact that they are often entirely dependent upon such work for their livelihood. The greater number of the married women are obliged to work owing to the want of employment, or low wages, of the husband; a certain number of young married women and elderly married women, with few home duties, work from choice as well as for the extra money they are thus able to obtain. In some instances home work is taken in to assist in the support of an aged relative. From the table (p. 165), it will be seen that over 80 per cent. of the home workers live in 1, 2 or 3 room tenements, and the majority being married women",Finsbury,Islington,0,0,b1804461x,Finsbury.1905.b1804461x.txt,https://dlcs.io/pdf/wellcome/pdf-item/b1804461x/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1905,0,51.548487,-0.110251
