contextText,location_fromMOH,searchCriteria_bigram,searchCriteria_type,source_bNumber,source_fileName,time_year,list of search terms,search criteria
"whose premises are subject to inspection. The system of giving out work to be done by home-workers does not appear to be a desirable one, and is to a great extent responsible for certain evils in the industrial world. Homework is done mostly by women who are unskilled and unorganised, and thus without the means of insisting upon a proper wage. When the work is sublet several times, as frequently happens, the wages paid to the final Outworker must necessarily be low, even if a fair wage be paid in the first instance. The work is also frequently done by married women who do not absolutely require to work, and so work for a small wage, in this way bringing down the earnings of all. There seems to be an increasing tendency amongst employers to employ Table CXX. Giving a Summary of Miss Brown's Workshop Work during the Year 1905. Register. Inspections. Forms and Notices. Sanitary Defects Discovered. Improvements Effected. 1905 Quarter ending. Number of Workshops. Number of Laundries. Additions To. Removals From. Total. Number of Workrooms. Registered Workshops, &c. Homeworkers' Premises. Restaurant Kitchens. Miscellaneous. Total. Calls and Re-inspections. Workrooms. Workshops Reported to H.M. Inspector. Homeworkers notified to Local Authorities.",Islington,"married,women",bigram search,b18106614,Islington.1905.b18106614.txt,1905,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"obtained in 1905, with an average of nine cases per week. It would appear that about 25 per cent. of the births are attended by registered midwives, but as the available statistics cover a short period only, the conclusions can hardly be taken as final. The majority of the infants are breast fed, at all events for the first few weeks. Only a comparatively small number of mothers in this district go to work regularly and leave their children in charge of others. As there are few factories and laundries in the neighbourhood as compared with other districts further west, married women have limited opportunity of getting work other than as domestic servants or charwomen, so there would appear to be little inducement for them to do so. In some cases, however, mothers, who would otherwise have been able to nurse their infants, were obliged to partially wean them in order to go to work. The percentage of those who did so was increased during the winter quarter, the period which corresponded to the time when the 45 greatest number of men were out of employment. The mothers of illegitimate children are almost invariably obliged to go to work, so",Chelsea,"married,women",bigram search,b18044578,Chelsea.1905.b18044578.txt,1905,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"hoped that this cause may soon no longer exist. The average level of the streets is 6ft. below Trinity high water mark. This must mean that the ground is to a large extent waterlogged, and that ground air is forced into those houses not sufficiently protected with concrete, twice daily. A large part of the ground, too, was made up with house refuse, and consequently the soil and ground air is impure. Owing to the existence of large factories employing female labour in the Borough, and in the adjoining part of West Ham, it is probable that the number of married women employed away from home exceeds that in the whole Borough. This would mean more hand-fed children and more Diarrhoea. The Lady Inspector is giving special attention to this district, and an improvement is to be anticipated before long. 69. The rate in Eltham exceeded that in the Borough, for the first time since 1901. 70. Voluntary Notification of Zymotic Enteritis was instituted during the summer quarter, and a full report on the results obtained is found in an appendix, with the method adopted and action taken in notified cases. The following leaflet is given to the mother of",Woolwich,"married,women",bigram search,b19823307,Woolwich.1905.b19823307.txt,1905,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"authority to charge the former with the cost of a suitable maintenance, with the farther liability in case of default of being placed in a labour establishment under State supervision until the debt is worked off."" A departmental committee on vagrancy has recently been collecting evidence concerning labour colonies, and I think the Council would do well to have before it that committee's report before expressing any opinion. With regard to public nurseries, the recommendation needs to be considered in connection with recommendation (44), which is as follows— (44) Creches. ""Wherever it was thought desirable, owing to the employment of married women in factories or for other reasons, to establish municipal creches, girls over 14 might be made to attend occasionally and the teaching of infant management to such girls should be eligible for aid from the grant for public education."" A report on creches prepared by the chief officer of the Public Control department was printed by order of the Public Control Committee on 8th July, 1904. That report and recommendation (44) have already been considered by the Education Committee, who state in a memorandum, dated 5th April, 1905, addressed to the Public Health Committee, that they have informed",LondonCountyCouncil,"married,women",bigram search,b18252540,LondonCountyCouncil.1905.b18252540.txt,1905,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"'think, be taken as showing the need for creche accommodation; but more and better organised means are necessary to grapple successfully with the problem. This is being realized by certain local authorities; and already one authority on the outskirts of London (Acton) has endeavoured to obtain Parliamentary powers, to establish a creche, whilst several of the more important corporations in the country are considering the question. The Committee call attention to the fact that the Inter-Departmental Committee on Physical Deterioration, in their report, made a recommendation to the effect that, whenever it was thought desirable, owing to the employment of married women in factories, or for other reasons, to establish municipal creches, girls over 14 might be made to attend occasionally, and that the teaching of infant management to such girls should be eligible for aid from the grant for public education. Public money could not be more usefully expended! The Committee recommended, (a) That the standing order (No. 1G1), limiting the period for considering applications to Parliament, be suspended, so far as may be necessary to enable the Council to consider their recommendations with regard to the provision and maintenance of creches in the County of London; (b) That",Kensington,"married,women",bigram search,b18111427,Kensington.1905.b18111427.txt,1905,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"premises have been visited, and that 55 men and 351 women were found to be engaged in home work. Seventeen of these premises were reported to the Home Office as ""Domestic Workshops,"" (i.e. a 164 workshop where only resident members of the same family are employed). Of the 55 men, 33 were tailors, and 22 were shoemakers, umbrella makers, &c. Of the 351 women, 120 were widows or single women ; these latter workers, generally speaking, work at greater-pressure owing to the fact that they are often entirely dependent upon such work for their livelihood. The greater number of the married women are obliged to work owing to the want of employment, or low wages, of the husband; a certain number of young married women and elderly married women, with few home duties, work from choice as well as for the extra money they are thus able to obtain. In some instances home work is taken in to assist in the support of an aged relative. From the table (p. 165), it will be seen that over 80 per cent. of the home workers live in 1, 2 or 3 room tenements, and the majority being married women, mostly with",Finsbury,"married,women",bigram search,b1804461x,Finsbury.1905.b1804461x.txt,1905,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"The deliberate act of married persons not to procreate children. 2. The later age at which women marry. 3. Variation in the proportion of women at the child-bearing age in the population. 4. Variation in the marriage rate. 5. Decrease in illegitimate births. The Registrar-General in his report for 1905 avers that there are, however, sufficient grouuds for stating that during the past 35 years approximately 35 [1900 about 17 per cent. of the decline of the birth-rate (based on the proportion of births to the female population aged 15-45 years) is due to the decrease in the proportion of married women in the female population of conceptive ages, and about 10 per cent. is due to the decrease in illegitimacy. With regard to the remaining 75 per cent. of the decrease, although a proportion of the reduced fertility may be ascribed to the changes in the age constitutions of married women, there can be little doubt that the greater part of it is due to deliberate restriction of child bearing on the part of the people themselves. These remarks, made with respect to the country, are equally applicable to Islington, where, without doubt, the same factors are at work",Islington,"married,women",bigram search,b18106626,Islington.1906.b18106626.txt,1906,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"the Conference :— The teaching in schools of elementary hygiene in reference to the rearing of infants. The appointment of qualified women with special reference to the hygiene and feeding of infants. The public supply of pure or specially prepared milk for the feeding of infants. Premature birth in relation to infantile mortality. Ante-Natal causes of infantile mortality, including parental alcoholism. The teaching of the hygiene of the expectant and suckling mother. Earlier notification or registration of births. On the earlier registration or notification of births. Infant life insurance. Infantile mortality and life insurance. Infant mortality and the employment of married women in factory labour before and after confinement. The regulation of the placing of infants out to nurse. The amendment of the Infant Life Protection Act. The chemistry of infant foods. Increase of the powers of local authorities with regard to milk supply. The operation of the Midwives Act in England, with a view to its extension to Scotland and Ireland, in relation to infantile mortality. 14 As a result of the discussion of the foregoing subjects the following resolutions were passed by the Conference:— 1. That the Education Department be urged to add instruction in elementary hygiene with",Hackney,"married,women",bigram search,b19885428,Hackney.1906.b19885428.txt,1906,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"cases which gave rise to divergences of opinion— some of which were settled, others being reserved for the decision of the Local Government Board. 1. The Company claimed to exclude from the scheme a number of minors of both sexes earning small weekly wages. It was contended on behalf of the Council that the said persons were not ""independent,"" their earnings being insufficient to keep them; they, moreover, residing with their families, and the fathers in several cases working ""within one mile"" of the houses. Most of these persons were retained in the scheme. 2. The Company claimed to exclude married women employed as laundresses, charwomen, &c., ""within one mile"" from their homes, on the ground that they must follow their husbands who are employed without the mile, and are the tenants of the rooms occupied by the family. Dissent from this view was expressed ; it being contended that as bona-fide workers ""within one mile,"" and ""having regard to all the circumstances of the case,"" these women were entitled to be provided for, and their families. In more than one such case the father was unemployed, and children were employed "" within one mile "" of the house. 3.",Kensington,"married,women",bigram search,b18111439,Kensington.1906.b18111439.txt,1906,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"it could be overcome, the problem of lowering the rate of infantile mortality would be in a great measure solved. This ignorance is not limited to one section of the community, but the time and opportunities amongst the poor for gaining knowledge are far less, and they are seldom in a position to devote the same amount of care and attention to their children, even when they have the means to buy the requisite food and clothing, and to house their children under suitable conditions. Any general improvement in the conditions of employment, such as would obviate the necessity for married women working away from their homes, can only be brought about by slow degrees, and even then much must depend on the thrift and industry of the individual worker. In the meantime much may be done to remedy defective knowledge, firstly at the schools by instruction in the practice and principles of personal hygiene, and secondly by teaching the mothers at their homes and by lectures given at Mother's Meetings and other gatherings. Instruction in hygiene is already being given in 17 the public elementary schools in the district, and 1 find that during the past year a course",Finchley,"married,women",bigram search,b19790119,Finchley.1906.b19790119.txt,1906,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"the factors which compel artificial feeding, to what extent they can be obviated, and when artificial feeding becomes inevitable, can the conditions under which the artificial food is handled be improved. At the Census of 1901, there were 2,488 women employed in the laundries of the district. The number has considerably increased since then. There are at the present time 93 factory laundries registered, and 230 workshop laundries. In addition, about 300 women are employed as homeworkers. It is probably no exaggeration to state that 3,500 women are employed in the laundry industry alone, and of these about 1,500 are married women or widows. From inquiries made, it may be stated that one-third of the married women in the South-West Ward are employed in laundry work. In 1906, 724 births were registered in this ward, and in 1907, 671, so that in this ward alone there are over 200 children under one year of age who are, at any rate, +.o some extent, artifically fed, as a result of this one factor. These women are occupied in this employment, not from choice, but from necessity. But whatever may be the cause, whether it be physical or economic, we are face",Acton,"married,women",bigram search,b19783425,Acton.1907.b19783425.txt,1907,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"deaths whose sub-district or any part thereof is situate within any area in which this Act is adopted shall at all reasonable times have access to notices of births received by the Medical Officer of Health under this Act, or to any book in which those notices may be recorded, for the purpose of obtaining information concerning births which may have occurred in his sub-district. (5). This section shall apply to any child which has issued forth from its mother after the expiration of the twenty-eighth week of pregnancy, whether alive or dead. The relation of the industrial employment of married women to infantile mortality is a question that has been much discussed of late years. At one time it was thought that the employment of married women in factories and workshops was a very important cause of infantile mortality, but the evidence that has so far been adduced in support of this view is far from conclusive, and there is now a tendency to regard the industrial employment of married women as but a minor factor in the causation of infantile mortality. During 1907, the Home Secretary took steps to elicit some adequate information on this subject, and on",Hampstead,"married,women",bigram search,b18106420,Hampstead.1907.b18106420.txt,1907,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"by the Lady Sanitary Inspectors, and the result is set out in the table on p. 116. It will be seen that 214 home-workers' premises have been inspected, and 114 that 27 men and 217 women were found to be engaged in home work. Of the 27 men, about half were tailors, and the remainder were shoe-makers, umbrella makers, etc. Of the 217 women, 75 were widows or single women; these latter workers, generally speaking, work at greater pressure, owing to the fact that they are often entirely dependent upon such work for their livelihood. The greater number of the married women are obliged to work owing to thel want of employment, or low wages, of the husband; a certain number of young married women and elderly married women, with few home duties, woirk from choice as well as for the extra money they are thus able to obtain. In some instances home work is taken in to assist in the support of an aged relative. The Council's duties in regard to the home work provisions of the Factory and Workshop Act, 1901 (Sections 107-114), concern four points, viz.:—(1) outworkers' lists, (2) the communication of the addresses of outworkers to",Finsbury,"married,women",bigram search,b18106158,Finsbury.1907.b18106158.txt,1907,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"coming ox Depot. Any artifical feeding being only a regrettable alternative to breast-feeding it is necessary to give a reason for 204 children admitted to the Depot in 1907 not being able to have their own natural food. The table below gives full particulars. It is to be noted that 153 mothers were unable to suckle on account of illness or entire loss of milk from other causes, and with 62 the 157 mother's milk was so poor that the child was wasting and its food had to be supplemented ; 7 were twin children. In only three cases of married women did the mother's occupation prevent her suckling, but 6 children were illegitimate and no doubt in most of these the mother was obliged to go to work to support herself. It must be remembered that the milk was never supplied to a child not already weaned without a doctor's certificate so there was no encouragement given to discontinue breast-feeding. Social Condition of Parents. The social condition of the parents who came to the Depot for milk is best indicated by the number of rooms occupied by each family. Out of ""295 cases in which information was obtained, 14",Woolwich,"married,women",bigram search,b19823320,Woolwich.1907.b19823320.txt,1907,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"317 77 l 1 l Nil. Other Workshops 385 2862 134 6 5 l Domestic Workshops 69 148 12 .. .. .. Home Workplaces 267 267 270 1 1 .. .. Restaurant Kitchens 158 337 11 2 1 .. .. Other Duties .. .. 486 .. .. .. .. Totals .. 7004 1063 10 9 2 .. The numbers employed are approximate only and probably understate the case. They refer to women only, with the exception of about 120 men working in their own homes. During the year enquiries into the following questions have been made: — The employment of married women in factories and workshops of the district. The living accommodation available for working women. The cleansing of schools. The voluntarily notified cases of consumption, with special reference to industrial conditions affecting the disease. A separate report on consumption appears in that section of your Report dealing with the question. Throughout the year I have given much attention to the connection of the Children's Baths and the Schools. The Baths have done excellent and much appreciated work for the children of the Borough. Every effort is made that the treatment may be as effectual, as educational, and as kindly",StPancrasMetropolitanBorough,"married,women",bigram search,b18251900,StPancrasMetropolitanBorough.1907.b18251900.txt,1907,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"being due to this cause. 33 Preventive Methods. To cure a disease you must first find the cause. I have tried to indicate in the previous chapter the principal conditions which are associated with a high infant death-rate. The first of these is concerned with the physical well-being of the mother, and is, consequently, a social and economic problem of the first magnitude, towards which there are indications that the State is turning its attention. There can be little doubt but that a considerable proportion of the deaths of infants are due to industrial necessities, and that the employment of married women in factories is responsible for many of the deaths from prematurity and allied conditions. The recent conference on infantile mortality devoted a good deal of attention to this aspect of the question, and passed a resolution-demanding an amendment of the present Factory and Workshops Act, to extend the period during which a factory or workshop shall not ""knowingly"" employ a woman within four weeks after childbirth, to three months. It is clear, therefore, that measures which have for their object the physical welfare of the mothers must of necessity tend to raise the standard of motherhood, and thereby",Battersea,"married,women",bigram search,b18048390,Battersea.1907.b18048390.txt,1907,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"the question of premature weaning, but under present social conditions it is doubtful if it is so important a factor in infantile mortality as it is somtimes represented to be. The Registrar General in his Report for 1905, discusses the question of Infantile Mortality and the employment of married women. He took two groups of fifteen towns, each containing respectively the lowest and the highest proportions of occupied married women, and compared their birth rate and infantile mortality in two quinquennia. The birth rate is, as might have been anticipated, lower in the towns having a high proportion of the married women industrially employed. The relationship between industrial employment of married women and infant mortality is however, not very visible. In the first group of towns, having only 4 to 8 per cent. of its married women engaged in occupations, the infant mortality in 1901-5 varied from 104 in Burton-on-Trent to 202 in Aberdare, the average for the 15 towns being 161; in the second group of towns having from 20 to 39 per cent. of its married women engaged in occupations, the infant mortality varied from 140 in Rochdale to 206 in Longton, the average for the 15 towns",Acton,"married,women",bigram search,b19783437,Acton.1908.b19783437.txt,1908,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"other persons of the same earning capacity. The home-workers themselves in our district are an industrious and deserving class. Some work at home because they are not young enough or not strong enough for factory conditions. Others work at home so as to supervise their families, and at the same time to earn some contribution to the support of parents or children. Others again work so as to keep in touch with the industrial world, and to keep their deftness of touch and general skill unimpaired. In the uncertainty of men's employment precaution of this kind on the part of married women out-workers is not without justification. Possibly these workers, who are not entirely dependent on their earnings from outwork may tend to bring down wages and so to injure those who work for their livelihood, but occasionally their partial independence enables them to refuse unfair terms, probably with good effect. The usual clerical work accompanying the work of inspection, including notices, notifications, reports, registers, etc., etc., has been done. I am, Sir, Your obedient Servant, M. E. Bibby, Sanitary Inspector of Workshops (Women). 101 Woman Inspector's Work ONLY. FACTORIES, WORKSHOPS, LAUNDRIES, WORKPLACES, AND HOMEWORK. 1.—Inspection. Including Inspections made by",StPancrasMetropolitanBorough,"married,women",bigram search,b18251912,StPancrasMetropolitanBorough.1908.b18251912.txt,1908,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"... ... 1 Wood Chopping ... ... ... ... 1 ... 1 ... ... 2 Walking Stick Makers ... ... ... ... 1 ... ... ... ... 1 Totals ... 165 54 ... 12 ... 36 ... ... 267 159 1908 OCCUPATIONS OF PERSONS ATTACKED WITH INFECTIOUS DISEASE. in Table CXII. is given a list of the occupations of the persons who were attacked with infectious diseases. Of the 1025 Scarlet Fever patients, it was found that 880 were children attending schools either within or without the Borough. Of persons in actual employment the largest number of cases occurred among married women looking after their own homes, of whom 17 appeared to have been attacked; the next in order were clerks, who were notified in i0 cases; these were followed by nurses, among whom 7 cases occurred; while dressmakers and teachers came next with 5 cases each. With respect to Diphtheria, 259 cases occurred among school children, while 8 mothers of families were attacked, 5 clerks, 5 servants, and several others as set out in the above-mentioned table. Enteric Fever was most prevalent amongst scholars, of whom 17 were attacked, followed again by housewives, of whom 10 were attacked, who",IslingtonMetropolitanBorough,"married,women",bigram search,b18248548,IslingtonMetropolitanBorough.1908.b18248548.txt,1908,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"The Council has continued the special attention it has given for some years to the purity of the food sold in the City and the sanitary condition of the places in which it is prepared. The inspection of workshops and workplaces occupies a large part of the time of the Inspectors, and especially of the two Lady Inspectors. Details of the defects found are set out in special tables, and particulars are also given relative to houses in which work is carried out by out-workers. The results of an enquiry on the effect of industrial employment on the health of married women and their children are mentioned. I regret to have to record the loss sustained by the Department by the death of Inspector Folland, an able and conscientious officer. His place has been filled by the appointment of Mr. H. E. Hardy, who was a sanitary inspector under the Wandsworth Borough Council. I desire to express my appreciation of the able assistance I have received from all the staff in the work of the Department. I have the honour to be, Mr. Mayor, my Lords and Gentlemen, Your obedient servant, FRANCIS J. ALLAN, Medical Officer of Health. March, 1910.",CityofWestminster,"married,women",bigram search,b1824774x,CityofWestminster.1909.b1824774x.txt,1909,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
