contextText,location_fromMOH,searchCriteria_list1,searchCriteria_type,source_bNumber,source_fileName,time_year
"into, the landlord excused his breach of promise, by stating that he wished to protect his fowls ; and not only refused to extend the water supply to the tenant's room, but even to return the key; and in addition, was giving him notice to quit the premises, because his wife complained to the medical officer of health who could only regret that the local authority had not power to enforce a supply of water in such cases. nos. 1 to 10, inclusive, upper grillingham street.—all the tenants complain of bad smells in their kitchens, no covers to ashpits, common",StGeorgeHanoverSquare,wife,single term search,b18247209,StGeorgeHanoverSquare.1858.b18247209.txt,1858
"street, daughter of a musician, set. 4; 62, westbourne street, daughter of a messenger to board of trade, set. 4; 22, shaftesbury crescent, a female, no occupation, set. 32; 22, hindon place, daughter of a journeyman carpenter, set. 2; 22, graham street, son of a clerk, set. 2; also the wife set. 35 ; 62, warwick street, daughter of a gentleman, set. 4. one of the cases was fatal in 24 hours; another, as we have before said, lingered for six weeks. we have given these details at length, in order to show exactly the places, the ages, and the",StGeorgeHanoverSquare,wife,single term search,b18247210,StGeorgeHanoverSquare.1859.b18247210.txt,1859
"duty repeatedly to call your attention to diseases in this locality evidently taking their origin from some local miasm; and, in this month's report, again three deaths from scarlet fever are recorded. 20 a house at lewisham, rushcy green, inhabited by mr. parker, shoemaker, is in an ffensive state; the wife is suffering from fever. the houses at the back are much complained of as being in an offensive state, and the drainage obstructed. several cases of fever have occurred here. meteorological table and tables of mortality arc appended as usual. meteorological observations. week ending. weight of air. barometer corrected.",Lewisham,wife,single term search,b19954323,Lewisham.1859.b19954323.txt,1859
"none from any other zymotic disease. two of the deaths only occurred in st. mary magdalen district, one being a widow 87 years of age, paralyzed for thirteen years, and the other an infant of one month. in the leather market district there were also but two deaths, one the wife of a labouring man 66 years of age, and the other an illegitimate child eight months old. in the st. james' district the deaths were 13, one of these was a journeyman tanner, 74 years old; his death was accidental. the widow of a sack maker also died, aged",Bermondsey,wife,single term search,b1799715x,Bermondsey.1859.b1799715x.txt,1859
"puerperal and similar fevers. whooping-cough destroyed 20 lives—not many for the season; dysentery, a major in the ceylon rifle æt. 45; typhus, a male of 42, at the livery stable, no. 6, park lane; and a maid-of-all-work, set. 18, in the hospital, from 6 no. 43, camera square, chelsea. the wife and child of a journeyman plumber in shepherd's court, and of a builder in eaton place west, died soon after confinement. the deaths from moral causes are numerous, including three suicides: the wife of a licensed victualler, æt. 55; a potman, æt. 45 ; and a merchant's clerk, eet.",StGeorgeHanoverSquare,wife,single term search,b18247222,StGeorgeHanoverSquare.1860.b18247222.txt,1860
"however to be 30, as there is a death registered twice. there is one case requiring especial notice.—it is a fatal case of cholera. a man aged 44, a fellmonger, previously in good health, died after thirty-four hours illness. he lived in stephenson's court. on inquiry i find that his wife had been working and handling for some days the sewer fat, and as in most of these instances she had, as a consequence, indulged very freely in spirituous liquors. she first fell ill; she recovered; the husband died. the court is moderately clean, but complaints are made that the",Bermondsey,wife,single term search,b17997161,Bermondsey.1860.b17997161.txt,1860
"sanction the introduction of a similar system of annual licensing in respect of them. the following three deaths from small-pox have occurred : on january 11th, at small-pox hospital, from 28, sidney street, a labourer, aged 29 years; duration of illness, 6 days. on january 12th, at 4, netherland place, wife of a cab-driver, aged 38 years; duration of illness, 12 days. on january 20th, at 4, netherland place, daughter of a cab-driver, aged 2 months; duration of illness, 6 days. i am happy to be able to say, that with the commencement of the present year it is proposed",IslingtonMetropolitanBorough,wife,single term search,b18248603,IslingtonMetropolitanBorough.1860.b18248603.txt,1860
"19th,—at no. 51, chenies' mews, aged 66 years, a potatosalesman, died of rupture of a vessel on the brain ; not certified. may 5th,—in the roman catholic chapel, duke street, aged 54 years, widow of a gold lace weaver, causeof death unknown; diedsuddenly; notcertified. may 13th,—at angel yard, aged 45, wife of an ostler, died of diphtheria ; not certified. july 10th,—at no. 23, chenies' mews, aged two years, the daughter of a conjurer j died from the falling of a wheel on the head; no medical attendant. the alleged causes of these 41 deaths, as stated to the registrar,",StGilesCamden,wife,single term search,b19875575,StGilesCamden.1861.b19875575.txt,1861
"collection of putrid bones on the floor. complaints unavailing. robert-street, no. 14. kitchen said to be offensive. maddox-street, no. 23. death from fever. no cause discoverable in the house, which was lately well drained by pipes. patient from country. street's-buildings, no. 1. a room inhabited by an old couple, the wife paralytic. the room is clean; and the offensiveness proceeds from neglect in opening the windows. 17 belgrave sub-district. ranelagh-mews, ranelagh-street, no. 1. the closet and drains have been cleansed. gloucester-terrace, st. george's-road, pimlico, no. 26. a notice was served on january 24th, since when the closet has been repaired,",StGeorgeHanoverSquare,wife,single term search,b18247234,StGeorgeHanoverSquare.1861.b18247234.txt,1861
"father, mother, daughter, 19 years old, and two children ditto 3rd do. father, daughter, 17 years old, and two children ditto 4th do. husband, wife, and child, and husband's sister, a grown-up woman, ditto 5th do. father, daughter, 15 years old, and three children sleeping together 6th do. husband and wife and wife's father in one room 7th do. husband, wife, and daughter, 18 years old, sleeping together, ditto 8th do. ditto ditto ditto ditto ditto ditto 1 union place, ditto 3 6 6 no case of indecent occupation. 1 new court, ditto 15 30 81 1st case. father, mother,",Whitechapel,wife,single term search,b19883365,Whitechapel.1861.b19883365.txt,1861
"together with the number of persons at an advanced age, is considerably larger than in the third group, where marriages are commonly contracted earlier in life, and, as some would say, less prudently, where the head of a family has as much as he can do barely to support his wife and children, and where the elderly members of families too oflen have to take refuge in the workhouse, the mortality of which is excluded from calculation in all my district tables. the second group is intermediate between these two. regarded thus, there will be no difficulty on the part",IslingtonMetropolitanBorough,wife,single term search,b18248615,IslingtonMetropolitanBorough.1861.b18248615.txt,1861
"fall;"" 4 by ""wilful murder;"" 4 by ""self-drowning;"" 7 by ""strangulation by hanging;"" 11 ""found dying or dead;"" 16 by ""suffocation;"" and 96 by ""sudden deaths."" fourteen individuals, or 1 out of every 7614 committed suicide in the year. the positions and ages of these selfdestroyers are annexed below. the wife of a clerk ended her days at 26, a hawker at 28, the wife of a porter at 29, the widow of a bricklayer at 35, a male unknown at 40, a 11 weaver at 41, a male unknown at 45, another weaver at 48, a third weaver at",BethnalGreen,wife,single term search,b18253994,BethnalGreen.1862.b18253994.txt,1862
"the poor, and i have directed the inspectors while visiting these houses to insist upon the periodical cleansing of the water-butts. 7 cases of sudden death, and deaths occasioned by violence, calling for judicial investigations, have been very numerous, there having been held 69 inquests during the present quarter. the wife of a cigar maker, aged 41, died from an ""unknown"" cause. in this case, although there was no medical attendant, an inquest was not held, neither was an inquest held on a woman who is reported to have died in child-birth, where also there was no medical attendant. there",Whitechapel,wife,single term search,b19883377,Whitechapel.1862.b19883377.txt,1862
"here are samples of this kind of entry. *the mortality in this class of patients which had averaged 8½ per cent, in the four preceding years, rose in 1861 to 14 per cent.; in 1962 it was only 6½ per cent. 16 at 31, colonnade, on december 18th, 1861, the wife of a porter, aged 37, died of "" exhaustion from drink,"" not certified. at 57, dudley street, on february 24th, 1862, a portmanteau maker, aged 50, died of "" pain in the stomach not certified. at 11, little saint andrew's street, on may 21st, 1862, the son of a",StGilesCamden,wife,single term search,b19875587,StGilesCamden.1862.b19875587.txt,1862
"0 5 0 523 6 9 edmonds' account, relieving officer ... . . 15 9 9 538 16 6 liabilities account, amount transferred ... ... 495 12 5 £1034 8 11 cr. oct. 7. treasurer's account— cruse, &c., for her daughter's maintenance at hanwell 3 11 0 gibson for his wife do. 4 0 0 timms do. do. 3 2 6 10 13 6 kensington parish account amount transferred ... ... 1023 15 5 £1034 8 11 vaccination account. may 28. treasurer's account— barnes, for registering cases of vaccination ... ... 5 1 6 july 9. godrich, for vaccination fees",Kensington,wife,single term search,b19824051,Kensington.1863.b19824051.txt,1863
"and debilitating power spared neither the feeble nor the robust, the young nor the old. indeed it appears to have been most fatal to those apparently most able to resist its power. more than one instance occurred in your district, in which the head of the family, after having seen wife and children prostrated by this poison and recovering from its effects, at last received it himself, and sunk beneath its fatal power. there can be no doubt, however, that those persons who had been previously addicted to habits of intemperance proved the most difficult to cure. to such, a",StSavioursSouthwark,wife,single term search,b19956824,StSavioursSouthwark.1863.b19956824.txt,1863
"windpipe. the following deaths are also recorded, viz., five by suicide, one from the effects of blows at a prize fight at hackney, one from the effects of excessive drinking, one from a fall, the deceased having trod upon a piece of orange peel on the pavement, one, a labourer's wife aged 28, from ""burns through wearing crinoline,"" one, a child newly born, from violence wilfully inflicted; three children aged respectively 6 weeks, 6 weeks, and 9 weeks, from suffocation in bed, the last of which occurred at night ""whilst the parents were under the influence of drink""; one, a",Whitechapel,wife,single term search,b19883389,Whitechapel.1863.b19883389.txt,1863
"to notice the efforts made, and often successfully made, to keep the disease a secret. for instance, one of the deaths registered, from confluent small-pox, occurred on premises, the proprietor of which, though living on the spot, said he knew nothing about it till two months afterwards. and a tradesman's wife in union-street, bond-street, says, she never knew that there were four persons in her house ill with small-pox, till she was taken ill with it herself, and made a fifth. out of these 45 cases, 10 were children under 15, of whom it was ascertained that 7 were vaccinated.",StGeorgeHanoverSquare,wife,single term search,b18247258,StGeorgeHanoverSquare.1863.b18247258.txt,1863
"1 year a bricklayer, from 10, blundell street, aged 59 years (died in s.p. hospital) son of an excavator, at 35, albion-place, ball's-pond, aged 2 months son of a jobbing labourer, at 35, dorset-street, ball's-pond, aged 2 weeks... daughter of a jobbing labourer at 2, garden-cottages, newington-green, aged 2 years wife of a bricklayer, at 2, mildmay-street, aged 43 years a mason, at prince albert, windsor-street, aged 40 years daughter of a cabdriver, at 7, sun-row, aged 4 years female child, at 6, gordon court, aged 13 months a plumber, from 35, barnsbury-row, aged 30, (died in s. p. hospital,)",IslingtonMetropolitanBorough,wife,single term search,b18248639,IslingtonMetropolitanBorough.1863.b18248639.txt,1863
"who believes it to arise from the next house, no. 2. here there lives an insolvent tradesman, whose goods have been seized for rent, and the water cut off for non-payment of rates. it was really a spectacle to see the miserable bundles used as bedding by his respectable looking wife and children. the "" owner,"" i.e., the occupier of no. 2, was summoned because his house was not fit for human habitation, there being no water supply to an internal closet. summons heard december 23; adjourned till january 4th, 1864, again to 18th, when water was reported by mr.",StGeorgeHanoverSquare,wife,single term search,b1824726x,StGeorgeHanoverSquare.1864.b1824726x.txt,1864
"one from cancer of the oesophagus, and another from cancer of the tongue. two children were suffocated in bed. in one of these instances, the mother was drunk. a man, aged 41 years, residing in osborn street, was "" accidentally drowned by falling into a cistern."" two persons, one the wife of a gentleman, and the other, the widow of a musician, both residing at 21, albert cottages, died from "" poisoning—how, not proven."" although a post mortem examination was made in each of these cases, no further information respecting them, than that above given, is recorded. four persons died",Whitechapel,wife,single term search,b19883390,Whitechapel.1864.b19883390.txt,1864
"shillings weekly are charged; 104 tenements of two rooms each, for which four shi llings are charged, and 19 of one room each, for which two shillings and sixpence are charged. they were tenanted when the account, which i saw, was made up by c74 persons, viz. : man and wife 272, widows 19, children 383. the rooms struck me, in some instances, as rather small for the number in family; but the general arrangements are worthy of all commendation. the tenants also were of a class which it has always appeared to mo most desirable to provide suitable accommodation",IslingtonMetropolitanBorough,wife,single term search,b18248652,IslingtonMetropolitanBorough.1865.b18248652.txt,1865
"the lungs, and 23 to bronchitis or inflammation of the bronchial or air tubes, 2 to laryngitis, and 1 to asthma. the tubercular class of diseases was fatal to 99, of which 52 were caused by consumption. thirty-five deaths were caused by violence, 2 by poison, one of these, the wife of a clothier, having mistaken white precipitate for arrow-root, 2 from wounds on the throat, 4 from burns and scalds, 3 by drowning, one of which was that of a child who accidentally fell in a tub of water, and another, that of a man aged 60, who was",Whitechapel,wife,single term search,b19883407,Whitechapel.1865.b19883407.txt,1865
"destroyed 8 children. typhoid and typhus fever, which is less exclusively a disease of early life, destroyed 8 lives; one in the hanover sub-district, viz.,—a young sailor lodging in avery-row; four in the belgrave, viz.,—a child of 5 in clarendon-street; another of 10 in another house in that street; the wife of a coachman, in belgrave-mews; and a butler, aged 23, in grosvenor-place. a valet, aged 23, from warwick-square ; and a woman of 24, from johnson's-place, died of this fever in the hospital, besides one non-parishioner. altogether, 226 children died under five years of age, as a set-off to",StGeorgeHanoverSquare,wife,single term search,b18247271,StGeorgeHanoverSquare.1865.b18247271.txt,1865
"restricted and utterly deficient in quantity, although a pure and inexhaustible supply is provided for all. the effect of respiring this poisonous air is to produce prostration of the vital energies and want of power to resist the attacks of disease. a labouring man sleeping, or rather narcotieizing, with his wife and family in a room allowing from 50 to 150 cubic feet of air to each person, and without the most ordinary provision for ventilation, becomes totally unfitted for his work, and unable, however willing, to bring to his aid sufficient vigour and spirit to attempt to raise himself",MileEnd,wife,single term search,b19953781,MileEnd.1866.b19953781.txt,1866
"together. the probability is that the cholera evacuations were emptied into the yard,and splashed over the vegetables, which thus conveyed the disease to the neighbouring customers. one instance is worth special notice: a clockmaker went to a house where some nurses lived who attended upon cholera patients; soon afterwards his wife was attacked and died, and subsequently his sister, who temporarily resided there—he himself escaping. the preponderance of evidence is in favor of the idea, that the cholera is propagated by a person taking with his drink or food the matter composing the vomit or intestinal discharges of a patient",Clerkenwell,wife,single term search,b20056102,Clerkenwell.1866.b20056102.txt,1866
"by a private practitioner and died on the 4th. no information was forwarded to me, and the first i heard of the occurrence was from the daily return of deaths transmitted to me on the wednesday evening (nov. 7th) from the registrar-general. early the next morning i communicated with the wife of the deceased, who could not believe that her husband had died of cholera, and refused to allow the destruction of the soiled bedding. in the evening of the same day she was herself attacked, and died in 24 hours. this time we were permitted to take away and",IslingtonMetropolitanBorough,wife,single term search,b18248664,IslingtonMetropolitanBorough.1866.b18248664.txt,1866
"of the metropolitan railway works behind westbourne-street; and a painter, aged 58, from flask-lane, died from fractured skull, through falling from a scaffold in grosvenor-place; 8 non-parishioners died from similar causes in the same hospital. one non-parishioner in the hospital died from wounds, and 5 from burns and scalds. the wife of a gardener, aged 51, died from laudanum, at the deputy-ranger's lodge, but it was not proved whether the poison was taken accidentally or by design. a housemaid, aged 16, a woman, aged 60, and a lady's maid, aged 26, were found drowned in the serpentine, in hyde park.",StGeorgeHanoverSquare,wife,single term search,b18247283,StGeorgeHanoverSquare.1866.b18247283.txt,1866
"intended to accommodate one family. ""the rooms in which the cases of cholera ""occurred are numbered 4, end are on the first ""floor on the side next to the premises lately occu""pied as cow houses. on waiting the rooms i ""found them occupied by a tailor's porter, who, with ""his wife and six children, occupied the rooms. ""the two children who died had been ill since ""christmas when they had the measles. the ""eldest was six years old, the youngest was two. ""the latter had been ill with diarrhœa for a week. ""on friday the children had fish for dinner,",StJamess,wife,single term search,b19956150,StJamess.1866.b19956150.txt,1866
"in communication with any cholera patients. on the 24th july, a woman died in camden town, having taken the disease from her husband, who came home ill with cholera a few days previously from the isle of dogs, where he had been employed as an engineer ; he survived his wife one week. on the 25th and 26th july, a brickmaker and his son died at a small house in a newly built street (piercefield street) in the upper part of kentish town; they were both engaged at work in brickmaking at belsize park, and there was no other case",StPancrasMetropolitanBorough,wife,single term search,b18251432,StPancrasMetropolitanBorough.1866.b18251432.txt,1866
"restricted and utterly deficient in quantity, although a pure and inexhaustible supply is provided for all. the effect of respiring this poisonous air is to produce prostration of the vital energies and want of power to resist the attacks of disease. a labouring man sleeping, or rather narcoticizing, with his wife and family in a room allowing from 50 to 150 cubic feet of air to each person, and without the most ordinary provision for ventilation, becomes totally unfitted for his work, and unable, however willing, to bring to his aid sufficient vigour and spirit to attempt to raise himself",MileEnd,wife,single term search,b18039601,MileEnd.1867.b18039601.txt,1867
"a singular discrepancy as to sexes also. the deaths from phthisis in the workhouse were males 41, females 20, or more than double the number of males; whilst in the district at large they were at the rate of males 118, females 100. it would seem, therefore, that when a wife or daughter fell ill, the husband being strong and in work, preferred, if possible, to keep the sick one at home; but when the husband or son fell ill, and was unable to labour, there was no resource left but the workhouse. in bronchitis the conditions are, in a",StGilesCamden,wife,single term search,b19875630,StGilesCamden.1868.b19875630.txt,1868
"than one family. the act requires that all rooms so let, must bo registered under the common lodging house act. the body of a man who died in the london hospital, was brought to no. 5, half moon passage, and kept in the attic room for 10 days, where the wife and four children lived and slept. on the 24th december a parcel of geese was seized from a shop in the whitechapel road and taken to worship street police court, and was condemned by the magistrate, as being unfit for human food. it was taken to the knacker's yard",Whitechapel,wife,single term search,b19883432,Whitechapel.1868.b19883432.txt,1868
"„ „ 3 m. 10 „ „ „ „ 14 1870. mar. 15 m. 4 son of a painter. hampden street 63 1868. oct. 11 m. 9 m. son of carriage fitter. „ „ 64 ,, 24 m. 91 son of boot-makers. waverley road 59 1868. dec. 20 f. 59 wife of a stoker. west bourne park road * 104 1868. nov. 23 m. 10 m. son of a builder. „ „ * • • „ 26 f. 2¾ daughter of a builder. „ „ 109 „ 16 f. 33 servant „ „ * 104 dec. 23 f. 5½ „",Paddington,wife,single term search,b19955200,Paddington.1869.b19955200.txt,1869
"in the quarter ending september 25th, 1869, when it destroyed 104 persons, of whom 56 succumbed to diarrhoea, and of these 38 were under 1 year of age. the deaths from accident or negligence numbered 68, 36 of which occurred to non-parishioners in st. george's hospital. of the parishioners, the wife of a porter, aged 57, died from fracture of the skull, caused by falling down stairs at no. 3, john's-eourt, farm-street. a gentleman, aged 44, died from fractured cervical vertebrae, at no. 15, graham-street, pimlico. an infant of 2 years was crushed to death by the wheel of a",StGeorgeHanoverSquare,wife,single term search,b18247313,StGeorgeHanoverSquare.1870.b18247313.txt,1870
"bad, but we have experienced it more or less ever since last august. i have lived in peel grove for fourteen years. on some occasions the effect of the smoke has been such that i have been obliged to get out of my bed in the night to save my wife and children from 'strangulation,' the smoke having penetrated our dwelling in such great volumes. ""by mr. williams—i am a qualified chemist and scientific analyst. the premises in question are at least within fifty feet of my house. ""the learned counsel then proceeded to call the attention of the witness",BethnalGreen,wife,single term search,b19952636,BethnalGreen.1870.b19952636.txt,1870
"scarcely standing room. what must be the state of its atmosphere at night, with closed doors and windows—and how strongly it becomes impregnated by contagion when scarlet fever or a contagious malady breaks out, it is not difficult to imagine. examples:—at 16 hermitage-street, a front parlor was occupied by man, wife and four children, with 880 cubic feet space—little more than 100 each. at 19 netley-street, nine in a family occupied the front kitchen. at 29 hall park, man, wife and seven children, several lying ill of fever, had 1773 cubic feet space. these latter, through the kindness of the",Paddington,wife,single term search,b19955212,Paddington.1870.b19955212.txt,1870
"the removal of dead bodies, also requires simplification and *since the above paragraph was written, an application has been made to sir thomas henry, at bow street police office, for his order to remove a person suffering from small pox to hospital, such person living at the time with his wife in one room at 22, princes street, drury lane, in which house three other cases of small pox had occurred. two of the sufferers had died. sir thomas henry declined to make the order, on the ground stated above, that the clause did not give him the power under",StGilesCamden,wife,single term search,b19875654,StGilesCamden.1870.b19875654.txt,1870
"of age; 8 from 20 to 60 years of age; 5 from 5 to 20 years of age; 1 aged 60 years of age. a crowded house in woodchester street, 9 rooms and washhouse, 26 persons. basement or kitchens parlor floor—2 rooms first-floor „ 8636 cubic feet, 332 each. man, wife and 6 children, all born in middlesex; man and wife born in devon, 3 children born in london; man, wife and 3 children, all born in devonshire. second-floor „ third room on ground-flo. a tenemented house in clarendon street, 9 rooms, 23 persons. basement 1950 cubic feet. man, bricklayer,",Paddington,wife,single term search,b19955224,Paddington.1871.b19955224.txt,1871
"19, north bruton mews. a gardener, aged 48, wounded himself in the throat with a knife, at no. 57, gillingham street. a woman, aged 45, drowned herself in the serpentine, hyde park. a nursery governess, aged 33, hung herself by a small rope to a peg in the wash-house. the wife of a sub-inspector of government, aged 41, hung herself by a scarf to a bed post. of the 16 deaths from causes not specified or ill-defined, were those of 9 infants, ""newly born,"" found in the grosvenor road dock; on the door step in warwick street; in the garden",StGeorgeHanoverSquare,wife,single term search,b18247325,StGeorgeHanoverSquare.1871.b18247325.txt,1871
"that were registered during the year as having been caused by cholera were as follows:— date and address. sex. age. occupation. disease. july 14, 1872. 1, teal cottages, teal street. f 7 weeks daughter of a labourer. no breast milk— cholera—4 days. july 23. 7, park place f 26 years wife of law stationer. cholera after childbirth—2 days. july 25. 36, nelson street m 9 months son of a dealer in maty dust. cholera. july 27. 1, godfrey's place f 9 months daughter of a cabinet carver. choleraic diarrhoea —5 days. july 29. 2, durham street . f 12 months",BethnalGreen,wife,single term search,b1995265x,BethnalGreen.1872.b1995265x.txt,1872
"them, and for this purpose, visited the house several times in the course of the day. mr. battram likewise visited no. 147, royal mint street, where the father of the child who died was lodged. this man was suffering from diarrhcea, and was lying in the same bed with his wife and three young children. the children were removed into another bed, and disinfectants were freely used in the room. the inspector visited the several houses in which the emigrants were lodged two or three times every day, until they were removed to the ship at gravesend. notice was given",Whitechapel,wife,single term search,b19883481,Whitechapel.1873.b19883481.txt,1873
"can never suggest the continuous and unnecessary congregation of men. it is said that the club keeps men away from the public house; that is open to doubt; but granting it, it certainly takes the men away from their homes of an evening, and as certainly it removes from the wife any inducement she might otherwise have, to render her home clean and comfortable, knowing very well that her husband will go to the club on his return from work. our good philanthropists by urging the oft told tale, ' see what uncomfortable homes these men have,' and who so",IslingtonMetropolitanBorough,wife,single term search,b18248731,IslingtonMetropolitanBorough.1874.b18248731.txt,1874
"green dragon yard, whitechapel, the inspector found the ground floor room of no. 6 to be occupied as a school 8 room. the room contains a cubic space of 825 feet, and at the time of his visit, there were in it 34 children, and the school master and his wife (who are foreigners). the space for each person was barely 23 cubic feet. the room was in a very dirty state. the privy was situated in a small yard adjoining the room, and was in a filthy condition. the smell on entering the house was most sickening. notice was",Whitechapel,wife,single term search,b19883493,Whitechapel.1874.b19883493.txt,1874
"that too frequently the scantiness of house accommodation has arisen from the improvident and drinking habits of parents, and the consequent reduction of the family, either to absolute pauperism, or the verge of it, which is worse. if we take the average of a working-class family, c 18 man and wife and 2 or more children, 300 cubic-feet for each person would be the maximum space that they live in. in some of these single rooms dangerous overcrowding exists. inspector biorn has found as many as 7 or 8 individuals of the same family in one room, but rarely, if",Paddington,wife,single term search,b1995525x,Paddington.1874.b1995525x.txt,1874
"or the front kitchen a little larger, but with less than 1000 cubic feet space, where there are not more than 100 to 150 feet for each person. a dog or two are often kept under these conditions. the following cases from my notes are illustrations:— no. 12 bouverie street—man, wife and 5 children in front kitchen, 770 cubic feet space; the beds, cupboards, chairs, tables, &c. reduce the cubic space less than 100 cubic feet to each person; the man is a journeyman butcher out of work. in the same house, first floor front, is a man (plumber and",Paddington,wife,single term search,b19955261,Paddington.1875.b19955261.txt,1875
