contextText,location_fromMOH,searchCriteria_bigram,searchCriteria_type,source_bNumber,source_fileName,time_year
"order among registration districts in respect of high birth rate, was working on the basis of a ten years' average which gave the Whitechapel birth rate as 351. If the position of Whitechapel were determined by the figures of the last few years the district would stand higher on the list. The rise in the birth rate may have been influenced by the increase already referred to in the number of persons living in blocks of dwellings, and may again be associated with the increase in foreign immigration. The marriage rate for the year 1893 is 11.8 The percentage of married women under 25 to total population obtained from the census return is, in the Whitechapel district, exceptionally high (2.42) ; St. George-in-the-East alone among registration districts has a greater percentage (2.54). Mr. Booth adopts this as his test of the number of early marriages which he notes "" are very numerous in St. George's East and Whitechapel."" Whitechapel stands first in the list of registration districts in respect of its surplus of unmarried males between 15 and 45 years of age. The death rates per 1,000 living in 1891-2-3 for the Whitechapel district, when corrected for deaths occurring in",LondonCountyCouncil,"married,women",bigram search,b18252436,LondonCountyCouncil.1894.b18252436.txt,1894
"year. 34 of the deaths were those of non-parishioners, admitted for treatment from the surrounding districts. 26 of the patients died from consumption, and other chest complaints, 4 from heart disease, 2 from enteric fever, and 1 from traumatic tetanus (lock-jaw), resulting from varicosed ulcer of the leg. 21 of the deaths occurred at the middle period of life, and 5 at advanced ages. III. The British Lying-in Hospital, Endell Street. This Institution, founded in 1749, and rebuilt in 1849, is the oldest Lying-in Hospital in London. It has been established as a charity for the purpose of assisting poor married women only. The Hospital is the means, through its Training School, of supplying midwives and monthly nurses of a superior class to the community at large. Particulars of fees, &c., can be obtained from the Secretary. The Medical Staff of the Hospital report for the year 1894:— "" In-Patient Department.—""The results of the first three months of the year, i.e., to the end of March, indicated that some radical change of routine treatment was necessary, as * 3 deaths had occurred in 31 cases admitted during the time, and 5 other cases were seriously ill. The Medical Staff met",StGilesCamden,"married,women",bigram search,b19875885,StGilesCamden.1894.b19875885.txt,1894
"from erysipelas. The one from enteric fever was contracted outside the Workhouse. 2 — The French Hospital, Shaftesbury Avenue. There were 32 deaths, 26 were non-parishioners. 24 of the deaths were caused from diseases of the heart and lungs. There was one zymotic death, from enteric fever, and one from accident—""fracture of the ribs."" 24 of the deaths occurred between the ages of 25 and 65 years, and 3 above 65. 3.—The British Lying-in Hospital, Endell Street. This is the oldest lying-in hospital in London; it was founded in 1749, and rebuilt in 1849 for the purpose of assisting poor married women at their delivery. The Medical Report for 1897 states that during the year 187 women were delivered in the wards with one maternal death. The patient was in a dying condition from complication of heart and lung mischief on admission, and her case was hopeless. The total number of children born was 189—of these one died 7 days after birth from debility. 79 In the out-patient department 390 mothers were delivered, 8 children were born dead, and 4 others died within a few days of birth, but there was no maternal death. Deaths in Hospitals, Lunatic Asylums, Workhouse",StGilesCamden,"married,women",bigram search,b19875903,StGilesCamden.1897.b19875903.txt,1897
"beds range from 4d. to 6d. per night, and the privilege of allowing a regular lodger to have a bed on Sunday night free is rarely extended to women. The usual charge for a double is 8d., but in some houses where but few married couples are received, 10d., or even 1s. and 1s. 6d. is charged. There is often only one kitchen for use in houses occupied by both sexes. In houses accommodating singles of both sexes and doubles, and in which two kitchens are provided for separate use, the married men may use the women's kitchen, but the married women do not always use the single men's. In a number of houses separate water-closet accommodation is provided for the two sexes, but it is difficult to say to what extent this separate use is maintained in practice. In several instances, at the instigation of the Council's inspectors, the yard in which the water-closets are Situated has been sub-divided by wooden partitions, so as to make this separation more complete. But while separate water-closets are generally regarded as being desirable, the need for separate washhouses is less recognised; thus, in houses occupied by men and women, both sexes often",LondonCountyCouncil,"married,women",bigram search,b18252461,LondonCountyCouncil.1897.b18252461.txt,1897
"increased which seems to indicate, as far as the parish of Willesden is concerned, that the report of the Registrar-General, of the slow but gradual decline of the marriage and birth-rates in the Kingdom generally, is not occurring here, and also indicates that the general prosperity of the District has been rather more than maintained. (17) BIRTHS. The births registered in the year were 3,142, including 17 which occurred in the Workhouse, giving a rate per 1,000 of 31.5, but that does not apparently represent the actual total, as from information obtained at Queen Charlotte's Lying-in-Hospital, it appears that 28 married women went from Willesden for their confinements, besides 63 single women. ILLEGITIMATE BIRTHS. These occurring and registered in the parish were 63:—boys 33, girls 30, being 2.0 per cent. of the total births. DEATHS. The deaths registered in the District were 1,197 —Males 570, Females 627. This would give an average per 1,000 of 12.06, which is rather more favourable than last year and the year before. There have been many deaths of Willesden people occurring outside the District which have to be added. The number, as nearly as can be ascertained, is 200; of these, 60 occurred at",Willesden,"married,women",bigram search,b19975880,Willesden.1898.b19975880.txt,1898
"Walthamstow General Hospital, and the remainder, 17, to various London Hospitals. Factory and Workshop Act.—The number of premises registered under the Factory and Workshop Act has increased from 216 to 501, in consequence of the obligation cast upon authorities to communicate to each other semi-annually the names and addresses of any ""Outworkers"" residing in their respective districts. The work of inspection of these premises is most complicated by the constant changes in the lists, half of each succeeding list consisting of new names in place of the old ones who have ceased to be employed. Many of the outworkers being married women working at home, anxious to add to the family income, work under fair sanitary conditions, and it is rare to find any cause for complaint. The various matters dealt with have been supplied to, and are dealt with in the report of, the Medical Officer of Health. The special premises periodically visited, besides Factories and Workshops, include:— Slaughterhouses 12 Dairies, Cowsheds and Milk Sellers 99 Fishmongers 39 Offensive Trades 3 Only minor causes of complaint were discovered in any of these, which were readily attended to by occupiers when pointed out. The two premises situate in the Northern",Walthamstow,"married,women",bigram search,b19971011,Walthamstow.1902.b19971011.txt,1902
"the ages of 15 and 45) work out as follows for London and the City of Westminster:— 1881. 1891. 1901. 1902. 1903. City of Westminster 238 210 178 184 172 County of London 283 259 236 233 237 A more exact method of estimating the birth-rate is by calculating it on the number of females living at child-bearing ages, distinguishing married and unmarried, legitimate and illegitimate, The illegitimate births were 186 in 1902 (5.7 of the total births), 150 in 1903 (4.7 of the total births). The legitimate birth-rate calculated on the above lines was equal to 174 per 1,000 married women in 1902, 164 per 1,000 in 1903; the illegitimate rate would equal 4'6 in 1902 and 3'8 in 1903, per 1,000 unmarried women between the ages of 15 and 45. The births are arranged according to the old divisions of the City in Table III., and the comparative rates are shown in Table IV. These are, uncorrected for births outside the City. Deaths. 2,517 deaths were registered in the City in the 52 weeks ending the 2nd January, 1904. After deducting 931 deaths of non-citizens in public institutions in the City, and adding those of 833 citizens who",CityofWestminster,"married,women",bigram search,b18247684,CityofWestminster.1903.b18247684.txt,1903
"been prepared. * Farr in Registrar-General's Fourth Annual Report, p. 138. 20 1903] Table VI. Showing the proportion of Married Women at four periods of their child-bearings ages, in every 1,000 of such Married Women. Age Periods. Census Years. Increase or Decrease. 1891. 1901. 15—20 8.14 6.36 — 1.78 20—35 133.05 124.69 — 8.36 25-35 468.94 481.99 + 13.05 35—45 389.87 386.96 — 2.91 1,000 1,000 — Here it is seen that at the two earlier age periods there was a decrease in 1901 in the proportion of married women, for whereas in 1891 there were 8.14 in every 1,000 married women at the 15.20 period, there were only 6.36 per 1,000 in 1901, a decrease of 1.78; and again, in 1891 there were 133.05 in every 1,000 married women at the 20.25 period, there were only 124.69 in 1901, a decrease of 8.36. When, however, we come to the next age period, 25.35,* there were 468.94 per 1,000 married women in 1891, whereas in 1901 there were 481.99 per 1,000, or the very substantial increase of 13.05. This increase is very remarkable, particularly as it occurs at a period of life when the procreative powers are still very active.",Islington,"married,women",bigram search,b18038190,Islington.1903.b18038190.txt,1903
"the same basis. The Registrar-General, in his 66th Annual Report, has shown that on this more reliable method the birth-rate of England and Wales is a rapidly declining one. Table showing the Proportion of Total Births per 1,000 Women aged 15-45. Three-Year Periods. Year. 1870-2 1880-2 1890-2 1900-2 1903. 153.7 147.7 129.7 114.8 113.8 B 18 Births are a prime factor in the national well-being, and this rapid decline in our national birth-rate cannot be viewed without concern. A large part of the decline is undoubtedly due, however, to the later age at which women marry. The proportion of childbearing married women between 15 and 25 to those between 25 and 45 must now be very much less than it was 30 years ago, and on this account the decline in the birth-rate, thus estimated, is less serious than it appears. ILLEGITIMATE BIRTHS. The illegitimate births, which last year had risen from 12 per 1,000 births in 1902 to 21 per 1,000, show a still further increase this year, namely, to 24 per 1,000. This is rather a sad index of the changing character of Willesden, for although the rate is well below that of England and Wales, it is",Willesden,"married,women",bigram search,b19796602,Willesden.1904.b19796602.txt,1904
"(the lowest). TABLE 5. (Census, 1901.) Of 1,000 Females aged 15-45 Proportion occupied per 1,000. Unmarried. Married. Females 15-45. Married and Widowed, 15 years and upwards. Borough 621 354 534 165 London 524 448 466 172 Kensington 688 284 602 234 Westminster 648 320 629 267 Marylebone 634 334 601 250 Hampstead 708 561 128 Willesden 465 513 377 115 Note.—The Condensed Tables of Occupations do not distinguish the ages of ""married and widowed"" engaged in occupations. No female under 15 years of age was returned as married at the last Census. The birth-rate ought to be calculated on the married women of child-bearing ages, due correction being made for the births of illegitimate children. Unfortunatelv the whole of the data necessary for such correction are not available. In Table 6 rates are given based on all births, and also on legitimate and illegitimate, as far as can be done. The table at present gives but little information ; but continued for a series of years, will afford a clear indication of the changes in the fruitfulness of marriage and the improvement (or deterioration) in the morality of the various districts. The only point to which attention need be called",PaddingtonMetropolitanBorough,"married,women",bigram search,b18245195,PaddingtonMetropolitanBorough.1904.b18245195.txt,1904
"Westminster 3,432 3,461 3,185 3,054 B 2 10 A comparison of the corrected and uncorrected birth-rates, and of the death-rates of infants under one year of age, is made in the following table:— Births. Birth-rate. Deaths, under 1, per 1,000 births. Uncorrected. Corrected. Uncorrected. Corrected. Uncorrected. Corrected. St. George 1,183 1,201 15.6 15.9 117 115 St. Margaret and St. John 985 1,070 18.9 20.6 152 140 St. James 284 311 14.4 15.7 95 86 St. Anne 205 232 18.3 20.7 78 69 Strand 240 240 12.1 12.1 116 116 The City 2,897 3,054 16.3 17.2 124 118 The number of married women between the ages of 15 and 45 is estimated to be 18,620, and the unmarried and widows at the same age-period 39,710. Illegitimate births (net) were 186 in 1902 (5.7 per cent. of the total births), 150 in 1903 (4.7 per cent.), and 134 in 1904 (4.3 per cent.). In the County the proportion was 3.8 per cent., which was about the average of the previous ten years. Calculating legitimate births per 1,000 married women between the ages of 15 and 45, and the illegitimate per 1,000 unmarried and widows at the same ages, we get the following",CityofWestminster,"married,women",bigram search,b18247696,CityofWestminster.1904.b18247696.txt,1904
"the Boiler Makers Society members deaths from all causes were 47, from phthisis 38½ wives of members from all causes 43, from phthisis 35½ Among Railway Servants from all causes 44½, from phthisis 36½. Thus we see that the question of the prevention of tuberculosis is of the very utmost importance to Friendly Societies, and to Sick Benefit Societies generally, and, therefore, to working men. A POOR LAW QUESTION. But outside of these Societies there is a huge mass of humanity who have no Society to look to, labourers, persons in casual employment, widows, orphans, and especially single women, or married women deserted by their husbands, who earn a precarious livelihood, and whose ultimate fate is to flee to the workhouses and their infirmaries when disease overtakes them. The prevention of phthisis is, therefore, a great question for those engaged in Poor Law Administration, as well as for Sanitary Authorities. And here let me state that something of this has dawned on the Islington Guardians, for they are now through their Relieving Officers notifying cases of the disease which come under their notice. All of them had, however, previously been removed to hospital or had died. The figures as to",Islington,"married,women",bigram search,b18047257,Islington.1904.b18047257.txt,1904
"In better social position they form the class of ' delicate' children. ""The majority of 'ill-nourished' children are so from a complexity of causes, of which want of food during school life is a comparatively trivial one. ""Frequently they seem the offspring of people who from inherent want of efficiency, mental or otherwise, have gone to the wall. These most often present evidences of mental slackness, and with this is associated in great measure alcoholism and its associates, want of regular employment, and poor housing. Insufficient rest for the young children is a frequent contributory cause due to housing. ""The married women also have to work, and infants are artificially fed; a want of cheap milk supply leading to the use of tinned milks deficient in fat, and also of preparations of various foods. 'The children are frequently fed on foods which are savoury from containing stimulating extractive matters their debilitated condition leading to their passing over wholesome food which is not tasty. The want of a sufficiency of fat and perhaps sugar is the chief defect noticeable in children's diets. ""Ill-nutrition associated with heredity and home conditions is due to deeper causes than any school feeding yet attempted is",LondonCountyCouncil,"married,women",bigram search,b18252539,LondonCountyCouncil.1904.b18252539.txt,1904
"71 42 17 The City of Westminster 3,432 3,461 3,185 3,054 3,120 A comparison of the corrected and uncorrected birth-rates, and of the death-rates of infants under one year of age, is made in the following table:— Divisions. Births. Birth-rate. Deaths, under 1, per 1,000 births. Uncorrected. Corrected. Uncorrected. Corrected. Uncorrected. Corrected. St. George 1,162 1,213 15.5 16.2 99 95 St. Margaret and St. John 1,057 1,131 20.6 22.0 131 122 St. James and St. Anne 533 574 17.5 18.8 93 87 Strand 188 202 9.8 10.5 138 128 The City 2,940 3,120 16.7 17.7 111 105 The number of married women between the ages of 15 and 45 is estimated to be 18,448, and the unmarried and widows at the same age-period 39,344. 1902. 1903. 1904. 1905. Legitimate Births (net) 3,275 3,051 2,920 2,971 Per 1,000 Married 174 156 156 161 Illegitimate Births (net) 186 150 134 149 Per 1,000 Unmarried 4.6 34 3.4 3.7 15 Deaths. 2,545 deaths were registered in the City in the 52 weeks ending the 30th December, 1905. After deducting 1,035 deaths of non.citizens in public institutions in the City, and adding those of 837 citizens who died in other districts, the corrected total",CityofWestminster,"married,women",bigram search,b18247702,CityofWestminster.1905.b18247702.txt,1905
"whose premises are subject to inspection. The system of giving out work to be done by home-workers does not appear to be a desirable one, and is to a great extent responsible for certain evils in the industrial world. Homework is done mostly by women who are unskilled and unorganised, and thus without the means of insisting upon a proper wage. When the work is sublet several times, as frequently happens, the wages paid to the final Outworker must necessarily be low, even if a fair wage be paid in the first instance. The work is also frequently done by married women who do not absolutely require to work, and so work for a small wage, in this way bringing down the earnings of all. There seems to be an increasing tendency amongst employers to employ Table CXX. Giving a Summary of Miss Brown's Workshop Work during the Year 1905. Register. Inspections. Forms and Notices. Sanitary Defects Discovered. Improvements Effected. 1905 Quarter ending. Number of Workshops. Number of Laundries. Additions To. Removals From. Total. Number of Workrooms. Registered Workshops, &c. Homeworkers' Premises. Restaurant Kitchens. Miscellaneous. Total. Calls and Re-inspections. Workrooms. Workshops Reported to H.M. Inspector. Homeworkers notified to Local Authorities.",Islington,"married,women",bigram search,b18106614,Islington.1905.b18106614.txt,1905
"proportion of domestic indoor servants is high the birth-rate is low, and vice-versa. It is evident, however, that there is a source of error in these comparisons if the birth-rate be calculated on the total population. Domestic indoor servants are almost invariably unmarried, and they constitute a non-productive element of the population. Hence, any district having a large proportion of domestic indoor servants may be expected to have a comparatively low birth-rate, if the rate be calculated on the whole population. This source of fallacy can be avoided if we can state 15 the proportion of legitimate births per 1,000 married women living at the ages when they are physiologically capable of bearing children, that is between the ages of 15 and 45, and the proportion of illegitimate births per 1,000 unmarried women at the same ages. I have made this calculation for 23 of the metropolitan boroughs and the results are set out in the next table. The figures refer only to the last Census year and the table includes only 23 of the 29 London sanitary districts. The figures for the other districts are either not available, owing to the overlapping of registration areas and sanitary districts, or",Battersea,"married,women",bigram search,b18044591,Battersea.1905.b18044591.txt,1905
"obtained in 1905, with an average of nine cases per week. It would appear that about 25 per cent. of the births are attended by registered midwives, but as the available statistics cover a short period only, the conclusions can hardly be taken as final. The majority of the infants are breast fed, at all events for the first few weeks. Only a comparatively small number of mothers in this district go to work regularly and leave their children in charge of others. As there are few factories and laundries in the neighbourhood as compared with other districts further west, married women have limited opportunity of getting work other than as domestic servants or charwomen, so there would appear to be little inducement for them to do so. In some cases, however, mothers, who would otherwise have been able to nurse their infants, were obliged to partially wean them in order to go to work. The percentage of those who did so was increased during the winter quarter, the period which corresponded to the time when the 45 greatest number of men were out of employment. The mothers of illegitimate children are almost invariably obliged to go to work, so",Chelsea,"married,women",bigram search,b18044578,Chelsea.1905.b18044578.txt,1905
"hoped that this cause may soon no longer exist. The average level of the streets is 6ft. below Trinity high water mark. This must mean that the ground is to a large extent waterlogged, and that ground air is forced into those houses not sufficiently protected with concrete, twice daily. A large part of the ground, too, was made up with house refuse, and consequently the soil and ground air is impure. Owing to the existence of large factories employing female labour in the Borough, and in the adjoining part of West Ham, it is probable that the number of married women employed away from home exceeds that in the whole Borough. This would mean more hand-fed children and more Diarrhoea. The Lady Inspector is giving special attention to this district, and an improvement is to be anticipated before long. 69. The rate in Eltham exceeded that in the Borough, for the first time since 1901. 70. Voluntary Notification of Zymotic Enteritis was instituted during the summer quarter, and a full report on the results obtained is found in an appendix, with the method adopted and action taken in notified cases. The following leaflet is given to the mother of",Woolwich,"married,women",bigram search,b19823307,Woolwich.1905.b19823307.txt,1905
":—26.69. This diminution in the birth-rate is a real one, as may be shown by comparing the births per 1,000 married females at ages 15—45 for the year with the previous years. In 1901, the year of the census, there were living 28,298 married females at ages from 15—45, giving a proportion of 21.5 births to every 100. In 1904 this proportion was 21.0, while in 1905 it was only 19.4. In all London this proportion was, in the years 1901—3, 23.4, and in 1904 22.8. In the Registrar General's sixty-sixth Annual Report the proportion of legitimate births per 1,000 married women aged 15—45 years, for certain groups of years, was shown to be as follows :— 1870—72 292.5 1880—82 286.0 1890—92 263.8 1900—02 235.5 1903 2333 With reference to this the Registrar-General says :—"" This statement proves that the true decrease in the birth-rate is not adequately shown by a comparison of the rates calculated on the total population. . . . This method of measuring the birth-rate shows the amount of the decrease to be far greater than is shown by the rates based on the total population."" 133 births occurred in the Workhouse, 6 of these belonging",Wandsworth,"married,women",bigram search,b18250737,Wandsworth.1905.b18250737.txt,1905
"authority to charge the former with the cost of a suitable maintenance, with the farther liability in case of default of being placed in a labour establishment under State supervision until the debt is worked off."" A departmental committee on vagrancy has recently been collecting evidence concerning labour colonies, and I think the Council would do well to have before it that committee's report before expressing any opinion. With regard to public nurseries, the recommendation needs to be considered in connection with recommendation (44), which is as follows— (44) Creches. ""Wherever it was thought desirable, owing to the employment of married women in factories or for other reasons, to establish municipal creches, girls over 14 might be made to attend occasionally and the teaching of infant management to such girls should be eligible for aid from the grant for public education."" A report on creches prepared by the chief officer of the Public Control department was printed by order of the Public Control Committee on 8th July, 1904. That report and recommendation (44) have already been considered by the Education Committee, who state in a memorandum, dated 5th April, 1905, addressed to the Public Health Committee, that they have informed",LondonCountyCouncil,"married,women",bigram search,b18252540,LondonCountyCouncil.1905.b18252540.txt,1905
"at 12 and 3. Monthly payments in advance. Maternity Department. 48 Metropolitan Provident Medical Association (174, Camden Street). Monthly payments in advance. 6d. per month. Open daily, 10 till 1, morning; 7 till 9, evening (except Thursday). Maternity Department. St. Pancras and Northern Dispensary (126, Euston Road). By letter or on payment of 6d. Resident Medical Officer attends Tuesday and Friday mornings at 10, other days at 9. Maternity Department. Women only, Wednesday at 2.30. (b) Just Outside the Boundaries of St. Pancras. Maternity Nursing Association (5, Little James Street, Gray's Inn Road). Provident Institution for attending or nursing poor married women in their own homes. Hours of Application: Monday and Thursday, 2 till 5. Midwifery fee (Doctor if necessary), from 10s. Nursing fee from ijs. 5.—HOSPITALS. (a) Within the Boundaries of St. Pancras. University College Hospital (Gower Street). Out-Patients (General), Daily 1 till 2. Casualties, at any hour. Royal Free Hospital (Gray's Inn Road). Out-Patients (Maternity), Tuesday and Thursday, not later than 10.30; Tuesday and Friday, not later than 1.30. New Hospital for Wumen (Euston Road). Out-Patients (Children), Monday and Thursday, 9.30 till 10. Temper j nee Hospital (Hampstead Road). Out-Patients (Medical), Monday, Tuesday, Wednesday, and Friday, at 1.30.",StPancrasMetropolitanBorough,"married,women",bigram search,b18251882,StPancrasMetropolitanBorough.1905.b18251882.txt,1905
